"","timestamp","x","y","row"
"156","00:01:37.115",58,18.8,156
"157","00:01:37.375",50.1,79.1,157
"158","00:01:37.911",14.4,47.9,158
"159","00:01:38.540",49.5,26.7,159
"160","00:01:39.228",20.1,64.1,160
"161","00:01:40.046",51.4,28.2,161
"162","00:01:41.707",52.4,53.9,162
"163","00:01:41.949",107.9,39.8,163
"164","00:01:42.296",1,40,164
"165","00:01:43.263",39.4,71.8,165
"166","00:01:43.711",55.7,68.2,166
"167","00:01:44.105",43.2,77.2,167
"168","00:01:44.153",76.6,5.7,168
"169","00:01:44.992",43.7,75,169
"170","00:01:44.999",64.9,78.5,170
"171","00:01:45.616",61.9,3.1,171
"172","00:01:45.926",56.3,77.8,172
"173","00:01:46.009",68.9,77.4,173
"174","00:01:46.394",62.1,3.6,174
"175","00:01:47.028",69.1,61.8,175
"176","00:01:48.304",73.6,59,176
"177","00:01:49.302",68.7,40,177
"178","00:01:49.539",60.6,0.1,178
"179","00:01:50.275",70.8,36.5,179
"180","00:01:51.815",85.2,10.4,180
"181","00:01:51.825",43.1,38.6,181
"182","00:01:54.201",85.8,7.2,182
"183","00:01:55.441",99.1,9.8,183
"184","00:01:55.683",55.7,51.5,184
"185","00:01:57.882",86.3,18.3,185
"186","00:01:58.168",26.5,56.9,186
"187","00:01:58.208",6.1,40.7,187
"188","00:01:58.935",94.4,4,188
"189","00:02:00.122",3.3,42.1,189
"190","00:02:00.936",24,56,190
"191","00:02:01.016",23.6,56.2,191
"192","00:02:02.798",8,53.9,192
"193","00:02:07.190",8.6,45.9,193
"194","00:02:08.397",9.2,29.5,194
"195","00:02:09.901",9,30.3,195
"196","00:02:11.316",9.2,58.1,196
"197","00:02:11.767",108.9,22.4,197
"198","00:02:13.478",7.7,65.6,198
"199","00:02:13.737",16.9,75.9,199
"200","00:02:13.817",110.6,12.6,200
"201","00:02:14.871",5.2,40.4,201
"202","00:02:15.758",20.8,69,202
"203","00:02:16.201",8.6,27.1,203
"204","00:02:16.486",27.7,65.4,204
"205","00:02:16.526",28.5,65.6,205
"206","00:02:16.775",9.7,24.5,206
"207","00:02:17.240",20.2,64.7,207
"208","00:02:17.280",20.2,64.3,208
"209","00:02:18.072",24,0.4,209
"210","00:02:19.081",27.7,2.5,210
"211","00:02:19.401",65.5,45.1,211
"212","00:02:20.167",44.3,36.5,212
"213","00:02:20.484",54.4,11.9,213
"214","00:02:20.531",62.9,66.5,214
"215","00:02:21.653",60.6,38.7,215
"216","00:02:22.096",52.9,15.8,216
"217","00:02:22.789",73.4,31,217
"218","00:02:23.160",107.9,39.9,218
"219","00:02:23.251",47.5,51.7,219
"220","00:02:23.626",1,40,220
"221","00:02:23.783",73.2,24.8,221
"222","00:02:24.538",69.8,70.5,222
"223","00:02:25.293",79,8.7,223
"224","00:02:27.010",74.5,7,224
"225","00:02:27.920",90.5,57.7,225
"226","00:02:28.412",23.1,32.9,226
"227","00:02:28.758",95.7,48.7,227
"228","00:02:28.798",98.5,48.7,228
"229","00:02:29.126",70.6,54.1,229
"230","00:02:29.189",47.1,27.3,230
"231","00:02:29.988",97.2,27.5,231
"232","00:02:30.980",49.5,21.1,232
"233","00:02:31.152",4.1,50,233
"234","00:02:31.841",55.2,9.2,234
"235","00:02:32.164",55.7,7.2,235
"236","00:02:34.336",8.8,65.2,236
"237","00:02:35.413",13.5,16.6,237
"238","00:02:36.254",8.4,40,238
"239","00:02:36.430",76.6,8.3,239
"240","00:02:38.529",12.7,24.8,240
"241","00:02:41.147",10.7,71.8,241
"242","00:02:42.392",56.9,75,242
"243","00:02:42.577",9.5,79.1,243
"244","00:02:43.226",112.6,1.9,244
"245","00:02:43.356",105.7,7.4,245
"246","00:02:43.422",36.2,71,246
"247","00:02:44.407",80.3,11.1,247
"248","00:02:45.207",105.3,32.7,248
"249","00:02:45.401",41.3,72.3,249
"250","00:02:46.157",13.1,39.3,250
"251","00:02:46.392",97.2,30.9,251
"252","00:02:46.959",21.2,49.6,252
"253","00:02:47.039",22.1,49.2,253
"254","00:02:48.349",9.9,62.6,254
"255","00:02:48.837",16.5,22.2,255
"256","00:02:49.914",10.1,66.5,256
"257","00:02:51.231",15,22.2,257
"258","00:02:51.534",75.6,41.2,258
"259","00:02:51.864",44.1,39.7,259
"260","00:02:51.904",43.9,38.9,260
"261","00:02:53.192",25.5,46.1,261
"262","00:02:53.275",65.7,42.3,262
"263","00:02:53.888",52.7,39.3,263
"264","00:02:54.560",52.9,30.8,264
"265","00:02:56.527",64,8.3,265
"266","00:02:57.371",68.7,6.2,266
"267","00:02:58.071",44.1,48.5,267
"268","00:02:59.889",43.7,19.8,268
"269","00:03:00.070",100.4,29,269
"270","00:03:03.013",50.8,22.2,270
"271","00:03:04.824",55,50,271
"272","00:03:06.893",108.1,40.1,272
"273","00:03:07.085",63.4,52.8,273
"274","00:03:07.227",1,40,274
"275","00:03:08.587",76.6,74.4,275
"276","00:03:09.169",77.3,73.1,276
"277","00:03:10.113",64.7,72.2,277
"278","00:03:10.377",120,0.1,278
"279","00:03:11.042",57.6,73.9,279
"280","00:03:11.590",4.5,39.5,280
"281","00:03:12.749",39,54.7,281
"282","00:03:15.282",29.2,49.6,282
"283","00:03:15.294",50.5,65.6,283
"284","00:03:16.597",65.9,14.9,284
"285","00:03:16.698",50.9,66.5,285
"286","00:03:17.296",14,35.2,286
"287","00:03:17.949",50.3,69.3,287
"288","00:03:18.552",14.2,35,288
"289","00:03:18.821",45.6,74.4,289
"290","00:03:19.574",17.2,25,290
"291","00:03:20.008",68.5,60.9,291
"292","00:03:23.717",28.9,3.8,292
"293","00:03:24.625",27,2.9,293
"294","00:03:25.770",42,2.5,294
"295","00:03:25.776",34.9,20.9,295
"296","00:03:26.144",76.8,77.2,296
"297","00:03:26.776",40.9,1.6,297
"298","00:03:27.360",41.6,43.8,298
"299","00:03:27.610",65.1,78,299
"300","00:03:29.280",87.1,68.4,300
"301","00:03:30.015",12.9,42.5,301
"302","00:03:30.630",32.8,10.6,302
"303","00:03:30.905",44.3,48.9,303
"304","00:03:31.160",21.7,54.3,304
"305","00:03:32.145",49.9,73.1,305
"306","00:03:32.544",22.7,54.7,306
"307","00:03:33.602",86.5,27.3,307
"308","00:03:33.811",30.2,28.2,308
"309","00:03:34.218",87.1,29.2,309
"310","00:03:34.379",34.5,55.6,310
"311","00:03:34.508",51.6,73.7,311
"312","00:03:35.347",28.5,25,312
"313","00:03:35.418",18.7,57.9,313
"314","00:03:35.687",47.8,54.1,314
"315","00:03:36.081",98.9,20,315
"316","00:03:36.121",100.3,25.9,316
"317","00:03:36.506",44.8,52.6,317
"318","00:03:36.825",10.1,35.7,318
"319","00:03:38.540",5.9,45.8,319
"320","00:03:38.558",28.7,65,320
"321","00:03:39.867",28.1,66.7,321
"322","00:03:41.832",13.3,45.1,322
"323","00:03:42.869",13.5,43.6,323
"324","00:03:43.260",10.1,35.7,324
"325","00:03:43.945",108,40.1,325
"326","00:03:44.073",21,31.6,326
"327","00:03:44.679",1,40,327
"328","00:03:44.798",13.7,14.1,328
"329","00:03:46.061",16.7,12.8,329
"330","00:03:47.913",41.3,28.4,330
"331","00:03:48.822",76.6,52.6,331
"332","00:03:49.039",41.6,30.1,332
"333","00:03:49.445",76.6,51.5,333
"334","00:03:50.325",44.6,22.4,334
"335","00:03:50.867",101.4,47,335
"336","00:03:51.604",62.9,15.3,336
"337","00:03:52.038",21.2,29,337
"338","00:03:52.345",64,16.2,338
"339","00:03:53.193",62.7,4.2,339
"340","00:03:53.408",19.5,16.6,340
"341","00:03:54.164",7,44.1,341
"342","00:03:54.540",16.1,14.5,342
"343","00:03:54.884",61.9,4.6,343
"344","00:03:55.301",12.7,57.5,344
"345","00:03:55.529",52,9.6,345
"346","00:03:56.116",3.1,26.5,346
"347","00:03:56.156",3.1,26.5,347
"348","00:03:56.411",52,9.6,348
"349","00:03:56.497",21.4,78,349
"350","00:03:57.186",21.4,66,350
"351","00:03:57.416",42.2,17.3,351
"352","00:03:57.419",22.7,65.4,352
"353","00:03:58.595",42.2,17.3,353
"354","00:03:58.897",51.6,69.7,354
"355","00:03:58.966",54.8,80,355
"356","00:03:59.218",40.1,1.4,356
"357","00:03:59.698",50.1,71.8,357
"358","00:03:59.778",49.3,71.2,358
"359","00:04:00.140",42.6,42.9,359
"360","00:04:01.252",86.5,2.1,360
"361","00:04:01.332",86.7,1.6,361
"362","00:04:01.612",37.5,71.6,362
"363","00:04:02.558",50.3,51.9,363
"364","00:04:02.570",82,7.2,364
"365","00:04:02.625",79.8,8.5,365
"366","00:04:02.736",42.6,73.1,366
"367","00:04:02.868",96.5,75.2,367
"368","00:04:02.909",44.7,72,368
"369","00:04:03.311",76.9,5.1,369
"370","00:04:03.691",42,73.7,370
"371","00:04:04.037",56.3,72.4,371
"372","00:04:04.315",77.3,3.4,372
"373","00:04:05.091",76.9,1,373
"374","00:04:05.399",42.4,76.5,374
"375","00:04:06.002",43.5,77.8,375
"376","00:04:06.116",78.3,2.1,376
"377","00:04:06.504",40.7,77.8,377
"378","00:04:06.568",51,67.3,378
"379","00:04:07.200",71.1,5.7,379
"380","00:04:07.986",52.7,70.8,380
"381","00:04:09.320",15.9,48.5,381
"382","00:04:09.360",15.9,48.5,382
"383","00:04:11.038",24.2,26.9,383
"384","00:04:12.252",82.8,80,384
"385","00:04:12.331",48.8,16.2,385
"386","00:04:12.461",24.7,11.7,386
"387","00:04:13.099",27.4,10.6,387
"388","00:04:13.367",76,65.4,388
"389","00:04:13.539",95.4,69.9,389
"390","00:04:15.521",95.4,73.5,390
"391","00:04:15.523",30.9,2.9,391
"392","00:04:15.569",100.1,72,392
"393","00:04:16.113",88,77.4,393
"394","00:04:16.849",88,69.9,394
"395","00:04:16.902",33.9,10,395
"396","00:04:16.973",113,30.3,396
"397","00:04:17.212",48.2,20.9,397
"398","00:04:17.951",88.4,66.5,398
"399","00:04:19.751",111.9,61.8,399
"400","00:04:20.429",73.4,74.8,400
"401","00:04:21.798",99.1,80,401
"402","00:04:22.680",6,12.1,402
"403","00:04:22.947",115.6,66.5,403
"404","00:04:22.987",115.8,70.7,404
"405","00:04:24.277",107.9,39.9,405
"406","00:04:24.365",12,20.5,406
"407","00:04:24.555",105.5,64.1,407
"408","00:04:24.646",1,40,408
"409","00:04:26.106",14.4,24.1,409
"410","00:04:26.945",105,48.2,410
"411","00:04:27.177",9.3,37.4,411
"412","00:04:27.528",3,38.4,412
"413","00:04:31.471",84.3,5.7,413
"414","00:04:31.621",45,0.1,414
"415","00:04:32.134",75.4,71.2,415
"416","00:04:32.332",43.2,8.3,416
"417","00:04:32.690",67,13.8,417
"418","00:04:34.545",9.3,21.1,418
"419","00:04:34.655",67.4,14.3,419
"420","00:04:34.966",34.7,4.4,420
"421","00:04:36.408",8.6,39.9,421
"422","00:04:37.417",8.4,25.8,422
"423","00:04:38.135",108.5,54.1,423
"424","00:04:38.191",100.2,22.6,424
"425","00:04:39.238",8.4,34,425
"426","00:04:39.296",9.7,41,426
"427","00:04:39.882",86,35.9,427
"428","00:04:40.325",33.2,43.4,428
"429","00:04:40.701",86,36.7,429
"430","00:04:41.505",81.5,38.2,430
"431","00:04:43.261",40.5,46.3,431
"432","00:04:44.327",49.9,73.9,432
"433","00:04:45.590",49.9,74.8,433
"434","00:04:46.159",55.4,20.3,434
"435","00:04:46.586",63.6,62.2,435
"436","00:04:46.626",65.3,62.4,436
"437","00:04:46.938",55.9,28.8,437
"438","00:04:47.974",72.6,72.7,438
"439","00:04:48.319",30.4,56.2,439
"440","00:04:48.834",62.5,28.2,440
"441","00:04:48.863",63.4,28,441
"442","00:04:50.226",36.6,42.5,442
"443","00:04:50.306",37.3,41.6,443
"444","00:04:50.353",65.3,43.2,444
"445","00:04:50.883",46.9,32.2,445
"446","00:04:51.571",72.6,45.9,446
"447","00:04:51.944",44.1,50.2,447
"448","00:04:52.160",82.4,42.1,448
"449","00:04:52.618",36.6,38.6,449
"450","00:04:52.717",47.5,51.5,450
"451","00:04:53.697",55.5,52.8,451
"452","00:04:55.073",64.7,3.4,452
"453","00:05:00.261",24,63.3,453
"454","00:05:00.787",97.8,15.8,454
"455","00:05:01.992",120,0.1,455
"456","00:05:02.984",108,40,456
"457","00:05:03.342",1,40,457
"458","00:05:03.509",3.9,41.2,458
"459","00:05:03.905",2.2,55.1,459
"460","00:05:04.158",115.8,23.2,460
"461","00:05:04.741",7.7,44.7,461
"462","00:05:05.772",99.9,18.6,462
"463","00:05:06.593",34.5,28.6,463
"464","00:05:07.307",106.1,11.1,464
"465","00:05:08.767",105.9,7,465
"466","00:05:09.760",101.2,11.9,466
"467","00:05:10.615",99.7,4.2,467
"468","00:05:11.482",18,73.3,468
"469","00:05:11.639",35.1,29.5,469
"470","00:05:12.068",100.4,4.2,470
"471","00:05:12.199",104.9,5.1,471
"472","00:05:13.245",111.1,5.1,472
"473","00:05:14.074",109.8,17.1,473
"474","00:05:14.112",10.1,63.7,474
"475","00:05:14.217",7,44.1,475
"476","00:05:14.284",13.7,41.9,476
"477","00:05:14.324",13.5,42.7,477
"478","00:05:14.603",110.4,16.9,478
"479","00:05:15.592",4.1,40.6,479
"480","00:05:15.772",26.6,58.3,480
"481","00:05:15.809",12.5,60.7,481
"482","00:05:16.398",88.8,16.4,482
"483","00:05:16.907",30.4,62.6,483
"484","00:05:16.987",88.6,16,484
"485","00:05:18.090",32.1,60.3,485
"486","00:05:19.703",27.6,41.2,486
"487","00:05:22.798",13.7,37,487
"488","00:05:24.185",10.3,20.5,488
"489","00:05:24.265",11,20.5,489
"490","00:05:24.815",49.5,26.7,490
"491","00:05:25.493",56.1,41.5,491
"492","00:05:25.531",23.8,4.2,492
"493","00:05:26.537",56.3,43.8,493
"494","00:05:26.759",23.1,4.4,494
"495","00:05:28.087",44.1,56.6,495
"496","00:05:28.228",51.8,24.8,496
"497","00:05:28.479",53.7,24.6,497
"498","00:05:29.139",51.4,62,498
"499","00:05:29.929",62.1,70.1,499
"500","00:05:30.600",68.7,77.8,500
"501","00:05:31.692",69.1,76.3,501
"502","00:05:31.764",50.5,67.7,502
"503","00:05:32.900",56.3,52.6,503
"504","00:05:33.093",56.5,74,504
"505","00:05:33.914",56.3,73.3,505
"506","00:05:34.478",48.2,50.2,506
"507","00:05:34.788",56.3,52.6,507
"508","00:05:34.889",71.9,29.9,508
"509","00:05:34.891",42.8,66.5,509
"510","00:05:35.252",48.2,50.2,510
"511","00:05:35.928",48.2,50.2,511
"512","00:05:36.397",49,62.4,512
"513","00:05:37.193",48.6,62.6,513
"514","00:05:37.604",47.5,19.4,514
"515","00:05:37.990",55.7,21.6,515
"516","00:05:38.297",64,60.3,516
"517","00:05:38.692",49.5,58.3,517
"518","00:05:39.318",62.9,73.5,518
"519","00:05:39.443",55,47.2,519
"520","00:05:39.975",47.5,19.4,520
"521","00:05:40.274",63.6,74.6,521
"522","00:05:40.492",55.9,45.7,522
"523","00:05:41.467",59.5,3.1,523
"524","00:05:41.504",63.2,54.7,524
"525","00:05:41.703",41.8,31.4,525
"526","00:05:41.899",63.2,54.7,526
"527","00:05:42.145",62.5,4.6,527
"528","00:05:42.266",53.7,74.2,528
"529","00:05:42.864",43.5,28.6,529
"530","00:05:43.095",57.2,36.1,530
"531","00:05:43.614",56.7,35.9,531
"532","00:05:43.787",56.1,72.5,532
"533","00:05:44.454",64.2,13.9,533
"534","00:05:44.883",47.7,67.8,534
"535","00:05:45.112",71.3,12.3,535
"536","00:05:45.210",71.1,9.4,536
"537","00:05:45.242",71.9,12.3,537
"538","00:05:45.487",69.8,3.6,538
"539","00:05:45.571",64,6.1,539
"540","00:05:46.359",70.6,18.3,540
"541","00:05:46.439",70,18.3,541
"542","00:05:46.594",69.6,5.1,542
"543","00:05:46.735",48.8,65.2,543
"544","00:05:47.027",71.3,15.8,544
"545","00:05:47.553",82.2,2.5,545
"546","00:05:47.662",49.9,65.6,546
"547","00:05:47.844",37.9,76.1,547
"548","00:05:48.117",52.9,23.7,548
"549","00:05:48.558",78.1,2.9,549
"550","00:05:50.178",50.5,10.4,550
"551","00:05:51.502",50.3,10,551
"552","00:05:51.628",55.2,73.1,552
"553","00:05:53.212",64.9,24.6,553
"554","00:05:53.254",51.8,46.8,554
"555","00:05:54.023",76,20.7,555
"556","00:05:54.564",77.7,19.4,556
"557","00:05:54.652",74.7,16.4,557
"558","00:05:54.930",46.5,64.1,558
"559","00:05:55.007",75.3,18.3,559
"560","00:05:56.222",31.5,62.4,560
"561","00:05:56.457",59.1,49.1,561
"562","00:05:56.468",56.3,23.3,562
"563","00:05:57.509",58.2,26.3,563
"564","00:05:57.697",62.3,24.7,564
"565","00:05:59.143",70.4,2.5,565
"566","00:05:59.637",53.9,61.3,566
"567","00:06:00.061",64.4,19.6,567
"568","00:06:00.474",107.8,39.9,568
"569","00:06:00.904",50.3,59.8,569
"570","00:06:01.014",82.8,17.7,570
"571","00:06:01.097",1,40,571
"572","00:06:01.334",36.2,63.7,572
"573","00:06:01.677",84.3,17.3,573
"574","00:06:02.269",66.4,55.6,574
"575","00:06:03.303",97.2,3.4,575
"576","00:06:03.601",70.8,77.4,576
"577","00:06:04.103",54,0.1,577
"578","00:06:04.217",97.2,3.4,578
"579","00:06:04.837",59.3,1.2,579
"580","00:06:04.909",60.4,78.7,580
"581","00:06:05.312",109.4,17.3,581
"582","00:06:05.424",58.9,2.7,582
"583","00:06:05.537",107.9,19.2,583
"584","00:06:06.291",77.7,77.6,584
"585","00:06:07.323",73,66.5,585
"586","00:06:07.363",73,68.2,586
"587","00:06:07.467",8.2,75.7,587
"588","00:06:08.362",65.1,74.2,588
"589","00:06:09.239",15.2,67.5,589
"590","00:06:09.319",15.2,67.5,590
"591","00:06:09.364",64.4,73.3,591
"592","00:06:10.160",20.1,77.2,592
"593","00:06:11.077",53.7,38,593
"594","00:06:11.359",98.7,4,594
"595","00:06:11.983",57.6,32.9,595
"596","00:06:13.151",69.3,17.1,596
"597","00:06:13.222",34.1,77.6,597
"598","00:06:14.012",42.8,77.4,598
"599","00:06:14.740",70.2,2.1,599
"600","00:06:15.941",50.3,80,600
"601","00:06:16.347",50.8,8.3,601
"602","00:06:16.597",64.9,80,602
"603","00:06:16.889",70.2,20.5,603
"604","00:06:17.607",91.8,76.1,604
"605","00:06:17.701",75.1,29.9,605
"606","00:06:17.781",75.1,29.9,606
"607","00:06:18.190",35.3,75.5,607
"608","00:06:18.450",49.9,8.7,608
"609","00:06:18.473",42.8,3.1,609
"610","00:06:18.758",43.1,3.1,610
"611","00:06:19.000",57.8,25,611
"612","00:06:19.096",28.5,70.5,612
"613","00:06:19.333",53.3,5.9,613
"614","00:06:19.628",64.9,3.4,614
"615","00:06:20.801",75.3,76.1,615
"616","00:06:21.135",42.8,4,616
"617","00:06:21.303",68.1,28.8,617
"618","00:06:21.664",27.6,41,618
"619","00:06:21.703",43.5,3.8,619
"620","00:06:22.036",69.2,2.9,620
"621","00:06:22.125",81.5,40,621
"622","00:06:22.221",84.1,34.2,622
"623","00:06:22.845",62.7,4.6,623
"624","00:06:23.544",48.6,51.9,624
"625","00:06:23.722",53.3,59,625
"626","00:06:24.232",53.1,58.1,626
"627","00:06:24.414",66.8,19.6,627
"628","00:06:24.837",52.9,60.5,628
"629","00:06:26.245",37.5,31,629
"630","00:06:28.442",68.3,8.9,630
"631","00:06:28.852",50.5,75.2,631
"632","00:06:29.435",65.9,2.9,632
"633","00:06:29.527",55.9,65.4,633
"634","00:06:29.880",62.7,16.8,634
"635","00:06:30.403",65.9,2.9,635
"636","00:06:30.862",53.7,66.7,636
"637","00:06:31.299",63.4,67.8,637
"638","00:06:31.536",64.7,15.5,638
"639","00:06:31.576",64.7,16.8,639
"640","00:06:31.821",55.2,14.1,640
"641","00:06:32.811",49.7,16,641
"642","00:06:32.973",39.6,12.3,642
"643","00:06:33.751",40.5,11.9,643
"644","00:06:34.869",34.5,31.6,644
"645","00:06:35.248",82.8,80,645
"646","00:06:36.455",28.1,15.5,646
"647","00:06:36.517",91.2,64.8,647
"648","00:06:36.860",50.8,17.9,648
"649","00:06:36.898",25.7,16.8,649
"650","00:06:37.477",93.1,63.5,650
"651","00:06:37.621",25.1,17.5,651
"652","00:06:37.912",33.6,39.1,652
"653","00:06:38.393",53.3,7,653
