"match_id","team.name","away_team_name","duration_perc","angleratio","highpassperc","passesreceivedperc","fouls","num_switches","num_crosses","num_clearance","tackles_won_perc","complete_dribbles_perc","outcome"
3835319,"Austria Women's","Austria Women's",0.453869575,0.95049505,0.244949495,0.825757576,10,8,9,14,0.625,0.454545454545455,"lose"
3835319,"England Women's","Austria Women's",0.546130425,0.95862069,0.214035088,0.91754386,5,7,16,23,0.464285714285714,0.5625,"win"
3835320,"Northern Ireland","Northern Ireland",0.330696246,0.967741935,0.211038961,0.899350649,7,3,4,10,0.55,0.545454545454545,"lose"
3835320,"Norway Women's","Northern Ireland",0.669303754,0.954861111,0.136042403,0.9204947,7,4,17,13,0.928571428571429,0.65,"win"
3835321,"Spain Women's","WNT Finland",0.765080855,0.953929539,0.121715076,0.94329184,9,23,25,16,0.625,0.458333333333333,"win"
3835321,"WNT Finland","WNT Finland",0.234919145,1,0.370689655,0.788793103,10,4,5,24,0.523809523809524,0.428571428571429,"lose"
3835322,"Denmark Women's","Denmark Women's",0.377648576,0.905325444,0.303405573,0.773993808,11,6,6,21,0.5625,0.6875,"lose"
3835322,"Germany Women's","Denmark Women's",0.622351424,0.927152318,0.184615385,0.904273504,11,9,14,13,0.642857142857143,0.368421052631579,"win"
3835323,"Portugal Women's","Switzerland Women's",0.616974692,1.003968254,0.158823529,0.966666667,9,13,13,14,0.695652173913043,0.555555555555556,"tie"
3835323,"Switzerland Women's","Switzerland Women's",0.383025308,1.037433155,0.263020833,0.846354167,17,5,9,17,0.703703703703704,0.375,"tie"
3835324,"Netherlands Women's","Sweden Women's",0.47243053,1.060344828,0.219917012,0.875518672,4,18,4,29,0.588235294117647,0.666666666666667,"tie"
3835324,"Sweden Women's","Sweden Women's",0.52756947,1.129310345,0.214428858,0.913827655,9,9,16,14,0.769230769230769,0.517241379310345,"tie"
3835325,"France Women's","Italy Women's",0.562483067,0.959409594,0.149812734,0.926966292,8,10,15,16,0.625,0.692307692307692,"win"
3835325,"Italy Women's","Italy Women's",0.437516933,0.857843137,0.182767624,0.885117493,12,7,10,20,0.666666666666667,0.545454545454545,"lose"
3835326,"Belgium Women's","Iceland Women's",0.556801161,0.907258065,0.22851153,0.882599581,7,7,9,32,0.730769230769231,0.692307692307692,"tie"
